abbr,income,obesity,smokes
AL,42830,33.5,21.1
AK,71583,29.7,19.9
AZ,50068,28.9,16.5
AR,41262,35.9,24.7
CA,61933,24.7,12.9
CO,61303,21.3,15.7
CT,70048,26.3,15.4
DE,59716,30.7,19.9
DC,71648,21.7,16.4
FL,47463,26.2,17.7
GA,49321,30.5,17.4
HI,69592,22.1,14.1
ID,47861,28.9,15.9
IL,57444,29.3,16.5
IN,49446,32.7,22.9
IA,53712,30.9,18.5
KS,52504,31.3,18.1
KY,42958,31.6,26.2
LA,44555,34.9,24
ME,49462,28.2,19.3
MD,73971,29.6,14.6
MA,69160,23.3,14.7
MI,49847,30.7,21.2
MN,61481,27.6,16.3
MS,39680,35.5,23
MO,48363,30.2,20.6
MT,46328,26.4,19.9
NE,52686,30.2,17.3
NV,51450,27.7,17
NH,66532,27.4,17.5
NJ,71919,26.9,15.1
NM,44803,28.4,19.2
NY,58878,27,14.4
NC,46556,29.7,19.1
ND,59029,32.2,19.9
OH,49308,32.6,21
OK,47529,33,21.1
OR,51075,27.9,17
PA,53234,30.2,19.9
RI,54891,27,16.3
SC,45238,32.1,21.5
SD,50979,29.8,18.6
TN,44361,31.2,24.2
TX,53035,31.9,14.5
UT,60922,25.7,9.7
VT,54166,24.8,16.4
VA,64902,28.5,19.5
WA,61366,27.3,15.3
WV,41059,35.7,26.7
WI,52622,31.2,17.4
WY,57055,29.5,19.5
